private_entity,external_uri,confidence
http://medkg.local/fatty_liver_disease,http://www.wikidata.org/entity/Q6058862,1.0
http://medkg.local/fibromyalgia,http://www.wikidata.org/entity/Q540571,1.0
http://medkg.local/flu,http://www.wikidata.org/entity/Q2840,0.8
http://medkg.local/gestational_diabetes,http://www.wikidata.org/entity/Q126691,1.0
http://medkg.local/glaucoma,http://www.wikidata.org/entity/Q159701,1.0
http://medkg.local/gout,http://www.wikidata.org/entity/Q133087,1.0
http://medkg.local/heart_attack,http://www.wikidata.org/entity/Q12152,0.6
http://medkg.local/heart_failure,http://www.wikidata.org/entity/Q181754,1.0
http://medkg.local/hemorrhagic_stroke,http://www.wikidata.org/entity/Q114754301,1.0
http://medkg.local/hepatitis,http://www.wikidata.org/entity/Q708693,0.6
http://medkg.local/hepatitis_b,http://www.wikidata.org/entity/Q6844,0.6
http://medkg.local/hepatitis_c,http://www.wikidata.org/entity/Q154869,1.0
http://medkg.local/hiv,http://www.wikidata.org/entity/Q15787,1.0
http://medkg.local/hyperthyroidism,http://www.wikidata.org/entity/Q16499,1.0
http://medkg.local/hypothyroidism,http://www.wikidata.org/entity/Q16501,1.0
http://medkg.local/influenza,http://www.wikidata.org/entity/Q2840,1.0
http://medkg.local/ischemic_stroke,http://www.wikidata.org/entity/Q107538694,1.0
http://medkg.local/kidney_failure,http://www.wikidata.org/entity/Q476921,1.0
http://medkg.local/leukemia,http://www.wikidata.org/entity/Q29496,1.0
http://medkg.local/liver_disease,http://www.wikidata.org/entity/Q929737,1.0
http://medkg.local/lung_cancer,http://www.wikidata.org/entity/Q47912,1.0
http://medkg.local/lupus,http://www.wikidata.org/entity/Q10571,1.0
http://medkg.local/lymphoma,http://www.wikidata.org/entity/Q208414,1.0
http://medkg.local/major_depressive_disorder,http://www.wikidata.org/entity/Q42844,1.0
http://medkg.local/malaria,http://www.wikidata.org/entity/Q12156,1.0
http://medkg.local/melanoma,http://www.wikidata.org/entity/Q180614,1.0
http://medkg.local/migraine,http://www.wikidata.org/entity/Q133823,1.0
http://medkg.local/multiple_sclerosis,http://www.wikidata.org/entity/Q8277,1.0
http://medkg.local/myocardial_infarction,http://www.wikidata.org/entity/Q12152,1.0
http://medkg.local/obesity,http://www.wikidata.org/entity/Q12174,1.0
http://medkg.local/osteoporosis,http://www.wikidata.org/entity/Q165328,1.0
http://medkg.local/parkinson_disease,http://www.wikidata.org/entity/Q11085,0.6
http://medkg.local/pneumonia,http://www.wikidata.org/entity/Q12192,1.0
http://medkg.local/prostate_cancer,http://www.wikidata.org/entity/Q181257,1.0
http://medkg.local/renal_failure,http://www.wikidata.org/entity/Q476921,0.6
http://medkg.local/rheumatoid_arthritis,http://www.wikidata.org/entity/Q187255,1.0
http://medkg.local/schizophrenia,http://www.wikidata.org/entity/Q41112,1.0
http://medkg.local/sepsis,http://www.wikidata.org/entity/Q183134,1.0
http://medkg.local/stroke,http://www.wikidata.org/entity/Q12202,1.0
http://medkg.local/systemic_lupus_erythematosus,http://www.wikidata.org/entity/Q1485,1.0
http://medkg.local/thalassemia,http://www.wikidata.org/entity/Q185137,1.0
http://medkg.local/thyroid_disease,http://www.wikidata.org/entity/Q6673122,0.6
http://medkg.local/tuberculosis,http://www.wikidata.org/entity/Q12204,1.0
http://medkg.local/type_1_diabetes,http://www.wikidata.org/entity/Q124407,0.6
http://medkg.local/type_2_diabetes,http://www.wikidata.org/entity/Q3025883,1.0
http://medkg.local/ulcerative_colitis,http://www.wikidata.org/entity/Q1477,1.0
http://medkg.local/allergy_and_immunology,http://www.wikidata.org/entity/Q101929,0.8
http://medkg.local/cardiologist,http://www.wikidata.org/entity/Q3264451,1.0
http://medkg.local/cardiology,http://www.wikidata.org/entity/Q15751978,1.0
http://medkg.local/emergency_medicine,http://www.wikidata.org/entity/Q2861470,1.0
http://medkg.local/endocrinologist,http://www.wikidata.org/entity/Q4531850,1.0
http://medkg.local/family_medicine,http://www.wikidata.org/entity/Q15817325,1.0
http://medkg.local/immunology,http://www.wikidata.org/entity/Q101929,1.0
http://medkg.local/infectious_disease_specialist,http://www.wikidata.org/entity/Q11494960,0.6
http://medkg.local/internal_medicine,http://www.wikidata.org/entity/Q11180,1.0
http://medkg.local/nephrologist,http://www.wikidata.org/entity/Q20739489,1.0
http://medkg.local/neurologist,http://www.wikidata.org/entity/Q783906,1.0
http://medkg.local/neurology,http://www.wikidata.org/entity/Q1161692,1.0
http://medkg.local/neurosurgery,http://www.wikidata.org/entity/Q188449,1.0
http://medkg.local/oncology,http://www.wikidata.org/entity/Q162555,1.0
http://medkg.local/ophthalmologist,http://www.wikidata.org/entity/Q12013238,1.0
http://medkg.local/pathologist,http://www.wikidata.org/entity/Q3368718,1.0
http://medkg.local/pathology,http://www.wikidata.org/entity/Q7208,1.0
http://medkg.local/pediatrician,http://www.wikidata.org/entity/Q1919436,1.0
http://medkg.local/pediatrics,http://www.wikidata.org/entity/Q7159238,1.0
http://medkg.local/psychiatrist,http://www.wikidata.org/entity/Q211346,1.0
http://medkg.local/psychiatry,http://www.wikidata.org/entity/Q7867,1.0
http://medkg.local/radiology,http://www.wikidata.org/entity/Q3285690,1.0
http://medkg.local/surgeon,http://www.wikidata.org/entity/Q774306,1.0
http://medkg.local/surgery,http://www.wikidata.org/entity/Q40821,1.0
http://medkg.local/amputation,http://www.wikidata.org/entity/Q477415,1.0
http://medkg.local/angioplasty,http://www.wikidata.org/entity/Q539795,1.0
http://medkg.local/blood_transfusion,http://www.wikidata.org/entity/Q26842792,1.0
http://medkg.local/bypass_surgery,http://www.wikidata.org/entity/Q186020,0.6
http://medkg.local/cbt,http://www.wikidata.org/entity/Q1147152,0.6
http://medkg.local/chemotherapy,http://www.wikidata.org/entity/Q974135,1.0
http://medkg.local/cognitive_behavioral_therapy,http://www.wikidata.org/entity/Q1147152,1.0
http://medkg.local/coronary_bypass,http://www.wikidata.org/entity/Q186020,0.6
http://medkg.local/deep_brain_stimulation,http://www.wikidata.org/entity/Q618076,1.0
http://medkg.local/dialysis,http://www.wikidata.org/entity/Q202301,0.6
http://medkg.local/ect,http://www.wikidata.org/entity/Q3375004,0.6
http://medkg.local/electroconvulsive_therapy,http://www.wikidata.org/entity/Q131543,1.0
http://medkg.local/heart_transplant,http://www.wikidata.org/entity/Q643396,1.0
http://medkg.local/hemodialysis,http://www.wikidata.org/entity/Q391744,1.0
http://medkg.local/hormone_replacement_therapy,http://www.wikidata.org/entity/Q3354346,1.0
http://medkg.local/hormone_therapy,http://www.wikidata.org/entity/Q1628266,1.0
http://medkg.local/immunotherapy,http://www.wikidata.org/entity/Q1427096,1.0
http://medkg.local/kidney_transplant,http://www.wikidata.org/entity/Q740909,0.6
http://medkg.local/laser_therapy,http://www.wikidata.org/entity/Q26842101,1.0
http://medkg.local/light_therapy,http://www.wikidata.org/entity/Q243570,1.0
http://medkg.local/liver_transplant,http://www.wikidata.org/entity/Q1368191,0.6
http://medkg.local/mechanical_ventilation,http://www.wikidata.org/entity/Q3766250,1.0
http://medkg.local/occupational_therapy,http://www.wikidata.org/entity/Q380141,1.0
http://medkg.local/oxygen_therapy,http://www.wikidata.org/entity/Q1988216,1.0
http://medkg.local/physical_therapy,http://www.wikidata.org/entity/Q15763171,1.0
http://medkg.local/physiotherapy,http://www.wikidata.org/entity/Q15750416,1.0
http://medkg.local/psychotherapy,http://www.wikidata.org/entity/Q183257,1.0
http://medkg.local/radiation_therapy,http://www.wikidata.org/entity/Q180507,0.6
http://medkg.local/radiotherapy,http://www.wikidata.org/entity/Q180507,0.6
http://medkg.local/rehabilitation,http://www.wikidata.org/entity/Q2428433,0.6
http://medkg.local/stem_cell_therapy,http://www.wikidata.org/entity/Q1533033,0.6
http://medkg.local/stent_placement,http://www.wikidata.org/entity/Q64805291,0.6
http://medkg.local/stenting,http://www.wikidata.org/entity/Q64625142,0.6
http://medkg.local/surgical_resection,http://www.wikidata.org/entity/Q62040976,0.6
http://medkg.local/targeted_therapy,http://www.wikidata.org/entity/Q492646,1.0
